title,ingredients,directions,link,source,NER,portions
Smoothie aux fruits tropicaux,"1 papaye, pelée et épépinée, 1 mangue, pelée et épépinée, 1 banane congelée, 1 cuillère à soupe de jus d'orange concentré, glace pilée et eau (pour couvrir les fruits)","[« Mettez les fruits dans un mixeur. », « Ajoutez des parts égales d'eau et de glace pour recouvrir les fruits. », « Mélangez jusqu'à obtenir une consistance lisse et servez ! »]",www.cookbooks.com/Recipe-Details.aspx?id=348817,Gathered,"[""papaye"", ""mangue"", ""banane"", ""concentré de jus d'orange"", ""eau""]",1
Smoothie aux baies,"250 ml de jus de pomme, 500 ml de fraises surgelées, 1 banane",[« Mélanger le jus et la banane dans un mixeur. Ajouter les fraises selon l'épaisseur souhaitée. Mixer jusqu'à obtenir une consistance lisse. »],www.cookbooks.com/Recipe-Details.aspx?id=94193,Gathered,"[""jus de pomme"", ""fraises surgelées"", ""banane""]",2
Smoothie fraise et banane (pour 1 portion),"125 ml de jus de fraise, de framboise ou de canneberge, 8 fraises, 1 à 2 cuillères à soupe de yaourt à la vanille, une pincée de muscade, 2 glaçons","[""Mélanger à grande vitesse dans un mixeur jusqu'à obtenir une consistance lisse et que les glaçons soient écrasés.""]",www.cookbooks.com/Recipe-Details.aspx?id=499406,Gathered,"[""fraise framboise"", ""fraises"", ""yaourt à la vanille"", ""noix de muscade"", ""cubes""]",1
Smoothie d'été,"250 ml de jus d'orange, 1 banane, 1 à 500 ml de fruits frais (les fraises et les myrtilles sont nos préférées), 8 à 10 glaçons","[« Mélangez les ingrédients dans le mixeur. », « Préparez un milk-shake aux fruits frais et nutritif ! »]",www.cookbooks.com/Recipe-Details.aspx?id=481329,Gathered,"[""jus d'orange"", ""banane"", ""fruit frais""]",2
Smoothie aux fruits givrés,"« 1 banane moyenne, pelée et coupée en morceaux », « 250 ml de jus d'orange, d'ananas, de raisin ou de pomme ou de jus de canneberge hypocalorique, réfrigéré », « 125 ml de lait écrémé », « 1 cuillère à café de vanille », « 3 glaçons »","[""Dans le récipient d'un mixeur, mélanger les morceaux de banane, le jus de fruits frais, le lait, la vanille et les glaçons."", ""Couvrir et mixer jusqu'à obtenir une consistance mousseuse."", ""Verser le mélange dans des verres."", ""Servir immédiatement.""]",www.cookbooks.com/Recipe-Details.aspx?id=17820,Gathered,"[""banane"", ""orange"", ""lait"", ""vanille"", ""cubes""]",1
Smoothie aux baies facile,"« 1 boîte (8 g) d'ananas écrasé, égoutté », « 1 banane mûre, tranchée », « 250 ml de lait », « 250 ml de fraises, framboises ou myrtilles fraîches ou surgelées »","[« Mélanger l'ananas, la banane, le lait et les fraises dans le bol d'un mixeur ou d'un robot culinaire. Couvrir et mixer jusqu'à obtenir une consistance lisse. Garnir d'une tranche de banane et d'une fraise, si désiré. Donne 3 portions. »]",www.cookbooks.com/Recipe-Details.aspx?id=153615,Gathered,"[""ananas"", ""banane"", ""lait"", ""fraises surgelées""]",3
Glaces aux fraises et smoothie,"250 ml de fraises tranchées, 125 ml de pêches tranchées, 125 ml de bananes tranchées, 125 ml de quartiers d'orange, 1 125 ml de jus d'ananas et de noix de coco","[« Mélanger les fruits dans le récipient d'un robot culinaire ou d'un mixeur ; mélanger jusqu'à obtenir une consistance lisse. », « Mélanger le jus de fruits et bien mélanger. »]",www.cookbooks.com/Recipe-Details.aspx?id=536761,Gathered,"[""fraises"", ""pêches"", ""bananes"", ""quartiers d'orange"", ""jus d'ananas et de noix de coco""]",2
Smoothie à l'orange (États-Unis),"« 500 ml de lait », « 62 ml de sucre », « 8 à 10 glaçons », « 6 g de concentré de jus d'orange congelé »","[""Placez tous les ingrédients dans un mixeur et mixez jusqu'à obtenir une consistance lisse et que les glaçons soient écrasés.""]",www.cookbooks.com/Recipe-Details.aspx?id=209842,Gathered,"[""lait"", ""sucre"", ""jus d'orange""]",2
Smoothie aux fruits hawaïens,"1/2 papaye (taille moyenne), 1 grosse banane, pelée, 1 gros kiwi, pelé, 1 125 ml de fraises, 188 ml de jus de pomme, 3 ou 4 glaçons","[""Mélanger dans un mixeur et servir.""]",www.cookbooks.com/Recipe-Details.aspx?id=914258,Gathered,"[""papaye"", ""banane"", ""kiwi"", ""fraises"", ""jus de pomme""]",1
Smoothie aux baies et aux baies,"125 ml de framboises et de fraises surgelées non sucrées, 188 ml de jus d'ananas, 250 ml de lait","[« Mixez les framboises, les fraises et le jus d'ananas dans un mixeur. Ajoutez le lait et mixez jusqu'à obtenir une consistance lisse. »]",www.cookbooks.com/Recipe-Details.aspx?id=78475,Gathered,"[""fraises"", ""jus d'ananas"", ""lait""]",2
Smoothie aux baies et à l'ananas Dole,"1 boîte (20 g) d'ananas écrasé Dole dans son jus (non égoutté), 250 ml de yaourt nature sans gras Dannon, 1 banane Dole, 250 ml de jus d'ananas Dole, 125 ml de fraises ou de framboises fraîches ou surgelées, 125 ml de glaçons","[« Mélanger l'ananas écrasé, le yaourt, la banane, les fruits rouges et les glaçons. Verser dans un mixeur ou un robot culinaire. Couvrir et mixer jusqu'à obtenir une consistance lisse. »]",www.cookbooks.com/Recipe-Details.aspx?id=32449,Gathered,"[""ananas"", ""yaourt écrémé"", ""banane"", ""jus d'ananas"", ""framboises""]",2
Smoothie Ouragan,"125 ml de morceaux d'ananas en conserve égouttés, 125 ml de jus d'ananas, 2 moitiés de pêches en conserve, égouttées et coupées en dés, 250 ml de yaourt à la vanille ou nature faible en gras, 250 ml de lait écrémé",Versez tous les ingrédients dans un mixeur et mixez jusqu'à obtenir une consistance lisse et épaisse. Une délicieuse idée de petit-déjeuner ! Donne 3 tasses ou 3 à 4 portions.,www.cookbooks.com/Recipe-Details.aspx?id=18564,Gathered,"[""ananas"", ""jus d'ananas"", ""moitiés de pêches"", ""vanille"", ""lait""]",3
Smoothie aux biscuits et à la crème,"« 500 ml de crème glacée légère aux biscuits et à la crème », « 125 ml de lait écrémé », « 1 banane moyenne, coupée en quartiers »",[« Mettre tous les ingrédients dans un mixeur. Mixer jusqu'à obtenir une consistance lisse. Servir immédiatement. »],www.cookbooks.com/Recipe-Details.aspx?id=108878,Gathered,"[""biscuits"", ""lait"", ""banane""]",2
Smoothie pour le petit-déjeuner (pour 1 portion),"1/2 banane moyenne, 500 ml. à soupe de noix de cajou hachées (facultatif), 125 ml de jus de fruits tropicaux non sucré, 125 ml de baies fraîches ou surgelées (myrtilles, mûres, framboises ou fraises hachées), 62 ml de yaourt nature sans gras ou de yaourt au soja (facultatif)","[« Mettez la banane et la moitié du jus (et les noix de cajou, si vous le souhaitez) dans un mixeur ou un robot culinaire muni d'une lame en acier. », « Mélangez en ajoutant progressivement le reste du jus, jusqu'à obtenir une consistance lisse. », « Ajoutez les baies (et le yaourt, si vous le souhaitez) et mélangez soigneusement. », « Servez immédiatement. »]",www.cookbooks.com/Recipe-Details.aspx?id=843723,Gathered,"[""banane"", ""noix de cajou"", ""jus de fruits"", ""myrtilles"", ""yaourt écrémé""]",3
Smoothie au beurre de cacahuète et à la gelée,"« 500 ml de lait », « 2 cuillères à soupe de gelée de mûres », « 2 cuillères à soupe de beurre de cacahuète », « 1 banane congelée et coupée en morceaux », « 2 cuillères à soupe de miel », « 2 cuillères à café de germe de blé »","[« Dans un mixeur, mélanger le lait, la gelée, le beurre de cacahuète, la banane, le miel et le germe de blé. Mixer jusqu'à obtenir une consistance lisse. »]",www.cookbooks.com/Recipe-Details.aspx?id=17730,Gathered,"[""lait"", ""gelée de mûres"", ""beurre de cacahuète"", ""banane"", ""miel"", ""germe""]",2
Smoothie petit-déjeuner faible en glucides,"125 ml de fruits tranchés, 125 ml de fromage cottage, 62 ml de yaourt nature, fraises, framboises, pêches (fraîches ou surgelées), aromatiser avec du Tang ou du Crystal-Lite sans sucre au goût",[« Mélanger tous les ingrédients dans un blender. Mixer jusqu'à obtenir une consistance lisse. Ajouter des glaçons si vous utilisez des fruits frais et mixer à nouveau jusqu'à obtenir une texture granitée. »],www.cookbooks.com/Recipe-Details.aspx?id=108419,Gathered,"[""fromage cottage"", ""yaourt nature"", ""fraises"", ""sucre""]",1
Smoothie au beurre de cacahuète,"500 ml de lait, 83 ml de sucre, 1 cuillère à café de vanille, 2 cuillères à soupe de beurre de cacahuète, 125 ml de glace pilée","[« Dans un blender, ajouter le lait, le sucre, le beurre de cacahuète et la vanille. Mixer à grande vitesse. », « Ajouter de la glace jusqu'à obtenir un smoothie épais. », « S'assurer que toute la glace est hachée. »]",www.cookbooks.com/Recipe-Details.aspx?id=32680,Gathered,"[""lait"", ""sucre"", ""vanille"", ""beurre de cacahuète"", ""glace pilée""]",2
Smoothie aux canneberges et à la mandarine,"« 4 g Ocean Spray - Cran Tangerine Cranberry Tangerine », « 1/2 banane coupée en tranches », « 3 fraises moyennes », « 125 ml de glace pilée », « 1 fraise pour la garniture »",[« Mélangez le tout dans un mixeur. Servez. »],www.cookbooks.com/Recipe-Details.aspx?id=48244,Gathered,"[""Canneberge Mandarine"", ""banane"", ""fraises"", ""glace pilée"", ""fraise""]",1
Smoothie aux fraises si bon,"250 ml de yaourt nature, 250 ml de lait froid, 250 ml de fraises, 125 ml de miel, 1 cuillère à café de jus de citron, 250 ml de glace pilée","[« Mettez le tout dans un mixeur, sauf la glace et le miel. », « Pendant que vous mixez, versez lentement le miel, puis ajoutez la glace. », « Mélangez jusqu'à obtenir une consistance lisse. », « Pour 4 personnes. »]",www.cookbooks.com/Recipe-Details.aspx?id=231354,Gathered,"[« yaourt nature », « lait froid », « fraises », « miel », « jus de citron », « glace pilée »]",4
"Smoothie Fruity Tootie (ou vous le dites, c'est dans ce smoothie)","« 12 g de boisson gazeuse (Vernors ou Red Pop) », « 250 ml de glace pilée », « 2 ou 3 boules de votre crème glacée ou yogourt glacé préféré », « 1/500 ml. à thé égale »","Ajoutez la glace, le yaourt et le soda. Ajoutez ensuite les ingrédients de votre choix : fraises, bananes, pêches, prunes. Mixez à vitesse maximale dans un blender ou un appareil à smoothie jusqu'à obtenir une consistance lisse. Si le mélange n'est pas lisse, ajoutez une autre canette de soda. Versez dans un verre et buvez avec une paille.",www.cookbooks.com/Recipe-Details.aspx?id=93864,Gathered,"[« soit Vernors », « glace pilée », « glace préférée », « Égal »]",2
Smoothie à l'abricot et à l'ananas,"1,5 L de nectar d'abricot, 1 ananas mûr paré et coupé en morceaux (environ 750 ml), 12 dattes coupées en dés, dénoyautées et en quartiers, 1 cuillère à soupe et demie de pollen d'abeille (trouvé dans les magasins d'aliments naturels, il ajoute un goût de miel à la boisson)","[« Dans un mixeur, mélanger 2 tasses de nectar d'abricot, un tiers des morceaux d'ananas, un tiers des dattes, 1 tasse de glaçons et 1/2 cuillère à soupe de pollen d'abeille. », « Si vous utilisez : », « mélanger jusqu'à obtenir une consistance lisse. », « Verser dans 2 verres refroidis. », « Préparer 2 autres lots de la même manière. », « Donne 9 tasses - pour 6 personnes. »]",www.cookbooks.com/Recipe-Details.aspx?id=63609,Gathered,"[""nectar d'abricot"", ""ananas"", ""dattes"", ""pollen d'abeille""]",9
Smoothie aux fruits d'été,"125 ml de lait, 125 ml de jus de pomme froid, 500 ml de morceaux de fruits frais (fraises, bananes, pêches pelées), 2 cuillères à café de sucre ou de substitut de sucre, 1/2 cuillère à café de vanille, 10 glaçons","[« Mélanger tous les ingrédients, sauf les glaçons, dans un blender. Couvrir et mixer jusqu'à obtenir une consistance lisse. Ajouter les glaçons et mixer jusqu'à épaississement. Servir immédiatement. Donne 4 portions de 190 ml chacune. »]",www.cookbooks.com/Recipe-Details.aspx?id=32102,Gathered,"[""lait"", ""jus de pomme"", ""fruits frais"", ""sucre"", ""vanille"", ""cubes""]",4
Smoothie réveil,"1 grosse banane mûre, pelée et coupée en tranches, 250 ml de fraises équeutées, 125 ml de framboises ou 2 kiwis, pelés et coupés en tranches, 250 ml de yaourt nature, 62 ml de jus d'orange, 500 ml. à soupe de miel","[""Placez tous les ingrédients dans le mixeur et mixez à grande vitesse jusqu'à obtenir une consistance lisse, environ 30 à 45 secondes.""]",www.cookbooks.com/Recipe-Details.aspx?id=93940,Gathered,"[""banane"", ""fraises équeutées"", ""framboises"", ""yaourt nature"", ""jus d'orange"", ""miel""]",4
Smoothie aux fraises,"« 1,0 L de fraises (congelées) », « 1 125 ml de jus d'orange », « 62 ml de miel »","[« Mélanger tous les ingrédients dans un mélangeur. », « Mélanger jusqu'à obtenir une consistance lisse à puissance maximale. », « Donne 4 portions. »]",www.cookbooks.com/Recipe-Details.aspx?id=860811,Gathered,"[""fraises"", ""jus d'orange"", ""miel""]",4
Smoothie aux bananes et aux baies,"« 18 g de yaourt aromatisé aux baies », « 1 banane moyenne »","[« Dans un mixeur, mixer tous les ingrédients jusqu'à obtenir une consistance homogène. Servir immédiatement. », « Pour 1 1/2 tasse. »]",www.cookbooks.com/Recipe-Details.aspx?id=668348,Gathered,"[""yaourt aromatisé"", ""banane""]",1
Smoothie petit-déjeuner aux baies et à la banane,"« 1 carton (8 g) de yaourt aux baies », « 1 banane mûre, coupée en morceaux », « 125 ml de lait »","[« Placez tous les ingrédients dans un mélangeur ; mixez jusqu'à obtenir une consistance lisse. », « Donne environ 2 tasses. »]",www.cookbooks.com/Recipe-Details.aspx?id=472740,Gathered,"[« yaourt aux baies », « banane », « lait »]",2
Smoothie aux cerises,"1 boîte (16 à 17 g) de cerises noires douces, 500 ml de yaourt à la vanille, 8 glaçons","[« Égoutter les cerises en réservant 3 cuillères à soupe de sirop. », « Mélanger les cerises, le sirop réservé et le yaourt dans le bol d'un mixeur. », « Mélanger jusqu'à obtenir une consistance lisse. », « Ajouter les glaçons un à un et mélanger jusqu'à obtenir une consistance lisse. Servir dans de grands verres avec des pailles. », « Pour 2 à 3 portions. »]",www.cookbooks.com/Recipe-Details.aspx?id=1012539,Gathered,"[""cerises noires douces"", ""yaourt à la vanille"", ""cubes""]",3
